node	degree	degree_ranking	k	k_ranking	betweeness	betweeness_ranking	closeness	closeness_ranking	
Chile	25	61	23	49	6.46	76	0.5269461078	61
Cyprus	21	70	21	59	2.79	89	0.5207100592	67
Israel	47	24	25	1	68.10	31	0.5732899023	24
Lithuania	41	32	25	1	26.40	49	0.5534591195	38
Mexico	46	25	24	44	179.89	16	0.5714285714	25
Norway	46	25	25	1	145.48	18	0.5623003195	30
Paraguay	13	83	12	84	2.33	93	0.4835164835	96
Peru	23	66	19	70	8.16	73	0.5191740413	71
Poland	56	15	25	1	58.88	34	0.5886287625	16
Thailand	25	61	20	61	51.47	36	0.5349544073	54
Uruguay	10	89	10	88	0.41	110	0.4902506964	87
Venezuela	41	32	23	49	92.75	24	0.5569620253	33
Armenia	24	63	20	61	14.73	62	0.5161290323	72
Estonia	31	50	25	1	18.42	55	0.5415384615	48
Georgia	28	56	22	55	17.05	58	0.5317220544	58
India	39	34	23	49	117.46	22	0.5569620253	33
Iran	43	29	23	49	81.09	26	0.5641025641	29
Moldova	19	73	19	70	1.59	101	0.5000000000	81
Australia	39	34	24	44	258.35	13	0.5605095541	32
Indonesia	56	15	25	1	716.66	6	0.5925925926	14
Ireland	29	53	25	1	9.84	67	0.5301204819	60
Japan	53	19	25	1	91.74	25	0.5886287625	16
Latvia	35	44	25	1	8.16	72	0.5448916409	44
Malaysia	17	75	17	74	3.61	85	0.5207100592	67
Mongolia	9	92	9	90	0.17	119	0.4888888889	90
New_Zealand	13	83	13	82	0.25	113	0.4985835694	83
Papua_New_Guinea	4	125	4	123	0.07	130	0.4334975369	151
Philippines	37	40	24	44	68.76	30	0.5482866044	41
Slovakia	37	40	25	1	11.48	65	0.5517241379	39
Solomon_Islands	1	163	1	163	0.00	135	0.3599182004	177
South_Korea	48	22	25	1	74.61	27	0.5770491803	22
Sweden	54	17	25	1	98.10	23	0.5866666667	18
Timor-Leste	4	125	4	123	0.19	116	0.4718498660	116
Austria	48	22	25	1	45.62	38	0.5751633987	23
Czech_Republic	44	28	25	1	28.86	45	0.5659163987	27
Denmark	38	36	25	1	26.90	48	0.5482866044	41
Finland	38	36	25	1	30.88	43	0.5500000000	40
Hungary	43	29	25	1	25.71	50	0.5659163987	27
Luxembourg	26	58	25	1	2.24	94	0.5207100592	67
Slovenia	32	47	25	1	8.72	70	0.5432098765	46
Azerbaijan	19	73	16	75	10.37	66	0.5116279070	73
Kazakhstan	30	51	22	55	25.70	51	0.5415384615	48
Saudi_Arabia	24	63	20	61	16.10	60	0.5238095238	63
Bahrain	4	125	4	123	0.08	125	0.4150943396	159
Pakistan	30	51	20	61	177.82	17	0.5432098765	46
Bangladesh	9	92	8	94	6.36	77	0.4821917808	97
Barbados	4	125	4	123	0.00	135	0.4795640327	104
Belarus	29	53	23	49	18.67	54	0.5349544073	54
Democratic_Republic_of_the_Congo	7	103	6	106	4.81	79	0.4489795918	145
Suriname	4	125	4	123	0.07	130	0.4345679012	149
Belize	1	163	1	163	0.00	135	0.4536082474	137
Benin	4	125	4	123	0.00	135	0.4705882353	119
Bhutan	2	149	2	148	0.00	135	0.4160756501	158
Ecuador	15	80	14	78	2.21	95	0.5000000000	81
Libya	8	97	8	94	0.29	112	0.4478371501	147
Botswana	6	110	6	106	0.07	130	0.4888888889	90
Cape_Verde	3	140	3	140	0.19	116	0.4121779859	160
Mali	10	89	9	90	3.13	87	0.4943820225	85
Nicaragua	13	83	13	82	1.66	100	0.4957746479	84
Nigeria	7	103	6	106	6.57	75	0.4808743169	101
Palestine	12	87	12	84	0.41	109	0.4943820225	85
Burkina_Faso	9	92	8	94	3.89	83	0.4795640327	104
Ghana	5	115	4	123	16.09	61	0.4718498660	116
Kuwait	12	87	11	86	4.07	82	0.5028571429	80
Cambodia	7	103	5	114	9.25	69	0.4756756757	111
Burma	3	140	3	140	0.78	103	0.4261501211	155
Cuba	21	70	19	70	8.60	71	0.5222551929	65
Iceland	16	76	16	75	1.75	99	0.5057471264	79
Chad	4	125	4	123	0.00	135	0.4345679012	149
Congo	4	125	4	123	3.73	84	0.4743935310	112
Fiji	1	163	1	163	0.00	135	0.4121779859	160
Nepal	5	115	5	114	0.13	120	0.4718498660	116
Sudan	6	110	6	106	0.09	122	0.4501278772	144
Zambia	15	80	11	86	32.01	42	0.5072046110	77
Colombia	22	69	20	61	7.89	74	0.5269461078	61
Costa_Rica	9	92	9	90	0.07	129	0.4821917808	97
Côte_dIvoire	3	140	3	140	0.00	135	0.4680851064	122
Dominican_Republic	7	103	7	102	0.11	121	0.4668435013	125
Djibouti	2	149	2	148	0.00	135	0.4230769231	156
Iraq	9	92	7	102	13.33	64	0.4743935310	112
Tunisia	20	72	19	70	4.42	81	0.5086705202	75
El_Salvador	5	115	5	114	0.00	135	0.4656084656	127
Equatorial_Guinea	2	149	2	148	0.00	135	0.3963963964	171
Eritrea	2	149	2	148	0.00	135	0.4055299539	165
Ethiopia	8	97	8	94	0.03	134	0.4848484848	95
Tanzania	7	103	7	102	0.00	135	0.4821917808	97
Haiti	2	149	2	148	0.00	135	0.4631578947	133
Gabon	1	163	1	163	0.00	135	0.4064665127	164
Niger	3	140	3	140	1.51	102	0.4027459954	167
Grenada	1	163	1	163	0.00	135	0.4018264840	168
Guatemala	8	97	8	94	0.35	111	0.4769647696	108
Guinea	1	163	1	163	0.00	135	0.4536082474	137
Guinea-Bissau	1	163	1	163	0.00	135	0.3606557377	176
Trinidad_and_Tobago	3	140	2	148	0.50	107	0.4559585492	135
Guyana	2	149	2	148	0.00	135	0.4547803618	136
Honduras	8	97	8	94	0.58	106	0.4875346260	92
Hong_Kong	2	149	2	148	0.00	135	0.3689727463	175
Vietnam	16	76	14	78	28.34	46	0.5072046110	77
Uganda	5	115	5	114	0.09	123	0.4705882353	119
Oman	4	125	4	123	0.74	105	0.4093023256	163
Jamaica	5	115	5	114	0.00	135	0.4808743169	101
Kenya	6	110	6	106	0.00	135	0.4875346260	92
Kyrgyzstan	7	103	7	102	0.22	115	0.4769647696	108
Laos	5	115	5	114	2.17	96	0.4731182796	115
Lesotho	1	163	1	163	0.00	135	0.4536082474	137
Liberia	1	163	1	163	0.00	135	0.4536082474	137
Madagascar	5	115	5	114	0.08	126	0.4795640327	104
Malawi	3	140	3	140	0.08	126	0.4271844660	154
Maldives	1	163	1	163	0.00	135	0.3728813559	174
Malta	26	58	25	1	2.63	90	0.5333333333	56
Mauritania	3	140	3	140	0.00	135	0.4313725490	152
Mauritius	4	125	4	123	0.09	124	0.4292682927	153
Micronesia	1	163	1	163	0.00	135	0.4536082474	137
Mozambique	6	110	6	106	0.07	128	0.4680851064	122
Namibia	8	97	8	94	0.49	108	0.4821917808	97
Palau	2	149	2	148	0.00	135	0.4656084656	127
Panama	5	115	5	114	0.00	135	0.4643799472	132
Uzbekistan	16	76	15	77	4.59	80	0.5101449275	74
Qatar	5	115	5	114	0.24	114	0.4489795918	145
Rwanda	3	140	3	140	0.00	135	0.4668435013	125
São_Tomé_and_Príncipe	2	149	2	148	0.19	116	0.3902439024	173
Sierra_Leone	2	149	2	148	0.00	135	0.4656084656	127
Singapore	4	125	4	123	0.07	130	0.3955056180	172
Zimbabwe	4	125	4	123	0.00	135	0.4693333333	121
Sri_Lanka	2	149	2	148	0.00	135	0.4356435644	148
St_Kitts_and_Nevis	1	163	1	163	0.00	135	0.4000000000	170
Swaziland	2	149	2	148	0.00	135	0.4656084656	127
Syria	14	82	14	78	2.44	91	0.4902506964	87
Tajikistan	10	89	9	90	2.15	97	0.4808743169	101
The_Bahamas	1	163	1	163	0.00	135	0.4536082474	137
The_Gambia	2	149	2	148	0.00	135	0.4656084656	127
Togo	4	125	4	123	0.00	135	0.4795640327	104
Tonga	1	163	1	163	0.00	135	0.4018264840	168
Turkmenistan	4	125	4	123	0.00	135	0.4680851064	122
Vanuatu	1	163	1	163	0.00	135	0.4121779859	160
Yemen	6	110	6	106	2.41	92	0.4524421594	143
