user	indegree	indegree_ranking	outdegree	outdegree_ranking	kin	kin_ranking	kout	kout_ranking	betweeness	betweeness_ranking	pagerank	pagerank_ranking	
澤田泰司	3	(2928)	0	(9867)	1	(3795)	0	(9245)	0.00	(6155)	0.00004	(5337)
Hello!_pro_EGG	4	(2290)	4	(2395)	1	(3795)	1	(4702)	13324.00	(2882)	0.00010	(2900)
前田憂佳	1	(5871)	1	(6473)	1	(3795)	1	(4702)	0.00	(6155)	0.00004	(5840)
岡田唯	2	(3968)	2	(4309)	1	(3795)	1	(4702)	12766.92	(2955)	0.00004	(5329)
有原栞菜	1	(5871)	1	(6473)	1	(3795)	1	(4702)	0.00	(6155)	0.00004	(5840)
真野惠里菜	1	(5871)	2	(4309)	1	(3795)	1	(4702)	7199.08	(3647)	0.00004	(5842)
Henry_(藝人)	0	(9125)	2	(4309)	0	(8154)	2	(2280)	0.00	(6155)	0.00001	(9237)
俞灏明	5	(1857)	3	(3107)	1	(3795)	2	(2280)	9357.19	(3252)	0.00004	(5158)
胡定欣	26	(256)	39	(105)	12	(212)	10	(140)	51135.58	(1281)	0.00017	(1350)
Hey!_Say!_JUMP	7	(1351)	6	(1510)	2	(1675)	2	(2280)	49891.13	(1304)	0.00015	(1611)
中島裕翔	3	(2928)	4	(2395)	2	(1675)	2	(2280)	16200.62	(2613)	0.00007	(3737)
山田涼介	4	(2290)	2	(4309)	2	(1675)	2	(2280)	938.34	(4883)	0.00006	(4199)
岡本圭人	2	(3968)	3	(3107)	2	(1675)	2	(2280)	0.50	(6119)	0.00005	(4512)
有岡大貴	2	(3968)	1	(6473)	2	(1675)	1	(4702)	0.00	(6155)	0.00005	(4515)
知念侑李	3	(2928)	4	(2395)	2	(1675)	2	(2280)	2772.61	(4444)	0.00008	(3411)
錦戶亮	9	(1040)	4	(2395)	3	(946)	3	(1003)	57323.77	(1162)	0.00015	(1721)
Pata	2	(3968)	2	(4309)	1	(3795)	1	(4702)	28717.26	(1895)	0.00003	(6235)
Toshi	2	(3968)	1	(6473)	1	(3795)	1	(4702)	0.00	(6155)	0.00003	(6234)
Yoshiki	6	(1564)	7	(1216)	1	(3795)	3	(1003)	192240.87	(347)	0.00010	(2907)
小泉纯一郎	32	(182)	14	(464)	5	(571)	4	(574)	457935.91	(119)	0.00060	(157)
H·H·阿斯奎斯	5	(1857)	1	(6473)	2	(1675)	1	(4702)	2.33	(5899)	0.00169	(15)
大衛·勞合·喬治	7	(1351)	1	(6473)	2	(1675)	1	(4702)	3904.05	(4266)	0.00176	(14)
H·L·A·哈特	2	(3968)	1	(6473)	1	(3795)	1	(4702)	40513.13	(1544)	0.00003	(6608)
罗纳德·德沃金	2	(3968)	1	(6473)	1	(3795)	1	(4702)	45735.13	(1416)	0.00005	(4949)
H·罗伯特·霍维茨	0	(9125)	1	(6473)	0	(8154)	1	(4702)	0.00	(6155)	0.00001	(9867)
西德尼·布伦纳	2	(3968)	1	(6473)	1	(3795)	1	(4702)	33261.70	(1756)	0.00006	(4352)
HΛL	1	(5871)	2	(4309)	1	(3795)	2	(2280)	0.00	(6155)	0.00004	(5576)
ICONIQ	0	(9125)	1	(6473)	0	(8154)	1	(4702)	0.00	(6155)	0.00001	(9867)
倖田來未	10	(937)	6	(1510)	3	(946)	2	(2280)	81447.12	(879)	0.00016	(1489)
IU_(歌手)	0	(9125)	1	(6473)	0	(8154)	0	(9245)	0.00	(6155)	0.00001	(9867)
金妍兒	3	(2928)	0	(9867)	1	(3795)	0	(9245)	0.00	(6155)	0.00004	(5224)
Iyaz	0	(9125)	2	(4309)	0	(8154)	1	(4702)	0.00	(6155)	0.00001	(9237)
尚恩·金斯顿	3	(2928)	3	(3107)	1	(3795)	2	(2280)	12692.42	(2962)	0.00003	(6510)
杰西卡·麦尔白	1	(5871)	1	(6473)	0	(8154)	1	(4702)	2223.31	(4542)	0.00002	(7967)
JUJU	0	(9125)	1	(6473)	0	(8154)	1	(4702)	0.00	(6155)	0.00001	(9867)
莎拉·沃恩	4	(2290)	2	(4309)	2	(1675)	2	(2280)	6655.50	(3906)	0.00010	(2776)
劳·凯利	7	(1351)	7	(1216)	3	(946)	3	(1003)	88246.88	(804)	0.00015	(1682)
巴斯达韵	4	(2290)	1	(6473)	2	(1675)	1	(4702)	599.72	(5028)	0.00010	(2719)
碧昂絲·諾利斯	13	(671)	9	(867)	3	(946)	3	(1003)	82390.85	(872)	0.00021	(969)
JoJo	0	(9125)	3	(3107)	0	(8154)	0	(9245)	0.00	(6155)	0.00001	(11483)
弗雷迪·阿杜	1	(5871)	0	(9867)	0	(8154)	0	(9245)	0.00	(6155)	0.00002	(8433)
瑞安·西克雷斯特	5	(1857)	0	(9867)	1	(3795)	0	(9245)	0.00	(6155)	0.00003	(5970)
艾瑞莎·弗蘭克林	6	(1564)	0	(9867)	1	(3795)	0	(9245)	0.00	(6155)	0.00005	(4538)
Johnny喜多川	1	(5871)	1	(6473)	1	(3795)	1	(4702)	392.30	(5139)	0.00002	(7609)
美空雲雀	11	(842)	5	(1875)	3	(946)	3	(1003)	225845.12	(277)	0.00016	(1530)
J·K·罗琳	3	(2928)	7	(1216)	1	(3795)	2	(2280)	76060.01	(935)	0.00005	(4696)
J·R·R·托尔金	4	(2290)	2	(4309)	1	(3795)	1	(4702)	19989.44	(2352)	0.00007	(3624)
