user	indegree	indegree_ranking	outdegree	outdegree_ranking	kin	kin_ranking	kout	kout_ranking	betweeness	betweeness_ranking	pagerank	pagerank_ranking	
エルヴィス・プレスリー	33	(21)	16	(98)	4	(79)	4	(207)	115391.46	(42)	0.00187	(36)
マーティン・スコセッシ	24	(49)	11	(242)	4	(79)	4	(207)	110872.48	(47)	0.00191	(34)
マジック・ジョンソン	7	(545)	6	(709)	4	(79)	4	(207)	22889.61	(357)	0.00035	(945)
ジャネット・ジャクソン	6	(671)	4	(1071)	3	(330)	3	(524)	6442.16	(978)	0.00032	(1023)
ブルック・シールズ	9	(362)	3	(1380)	3	(330)	3	(524)	57669.54	(116)	0.00049	(565)
ジョージ・アームストロング・カスター	2	(1656)	12	(202)	1	(1793)	4	(207)	5315.40	(1126)	0.00009	(2369)
ユリシーズ・グラント	16	(125)	7	(555)	3	(330)	4	(207)	23410.91	(343)	0.00126	(91)
ウィリアム・シャーマン	8	(454)	3	(1380)	3	(330)	2	(1286)	4576.07	(1210)	0.00045	(636)
ダスティン・ホフマン	9	(362)	1	(2299)	3	(330)	1	(2049)	3765.11	(1297)	0.00040	(797)
エロール・フリン	6	(671)	3	(1380)	3	(330)	2	(1286)	7527.27	(898)	0.00048	(578)
シッティング・ブル	4	(1049)	6	(709)	1	(1793)	3	(524)	7375.86	(908)	0.00021	(1467)
セオドア・ルーズベルト	24	(49)	16	(98)	4	(79)	5	(59)	120650.27	(38)	0.00192	(33)
エイブラハム・リンカーン	30	(24)	15	(114)	4	(79)	4	(207)	131851.68	(33)	0.00258	(15)
ジェイムズ・ロングストリート	1	(2171)	10	(293)	1	(1793)	4	(207)	418.13	(1996)	0.00005	(2811)
ロバート・E・リー	12	(219)	2	(1800)	3	(330)	2	(1286)	4441.23	(1222)	0.00082	(208)
ロバート・アルトマン	11	(258)	2	(1800)	3	(330)	2	(1286)	8941.47	(805)	0.00053	(516)
マルチェロ・マストロヤンニ	9	(362)	8	(468)	3	(330)	3	(524)	13661.81	(579)	0.00079	(230)
アンドリュー・ジョンソン	8	(454)	4	(1071)	3	(330)	4	(207)	16936.90	(488)	0.00083	(202)
アルベール・カミュ	4	(1049)	7	(555)	2	(1027)	3	(524)	4312.01	(1235)	0.00018	(1624)
ウィリアム・フォークナー	8	(454)	4	(1071)	3	(330)	3	(524)	18377.86	(451)	0.00036	(902)
ジャン＝ポール・サルトル	16	(125)	21	(43)	3	(330)	3	(524)	109309.27	(49)	0.00060	(404)
カール・ヤスパース	8	(454)	4	(1071)	3	(330)	3	(524)	3704.82	(1305)	0.00045	(650)
