node	degree	degree_ranking	k	k_ranking	betweeness	betweeness_ranking	closeness	closeness_ranking	
Timor-Leste	6	143	4	136	0.01	137	0.4601769912	119
Latvia	194	43	25	1	46.62	30	0.5402597403	42
Cameroon	12	123	6	111	2.64	74	0.4622222222	113
Costa Rica	32	87	10	90	0.00	144	0.4738041002	96
Congo	7	140	4	136	0.20	99	0.4611973392	115
Finland	584	14	25	1	30.24	35	0.5416666667	39
United Arab Emirates	39	83	20	63	14.46	43	0.5098039216	67
Tanzania	26	93	7	107	0.98	82	0.4759725400	93
Albania	84	62	22	55	11.78	50	0.5085574572	68
Tajikistan	13	119	9	93	0.17	102	0.4632516704	111
Malawi	5	154	4	136	0.01	134	0.4279835391	161
Sudan	11	128	6	111	0.01	129	0.4306418219	160
Tunisia	41	82	19	71	0.24	96	0.4964200477	77
Malta	39	83	25	1	0.06	114	0.5252525253	54
Uganda	8	138	5	124	0.00	142	0.4601769912	119
Luxembourg	74	66	25	1	0.13	106	0.5148514851	63
Mongolia	29	89	10	90	0.01	135	0.4803695150	88
Pakistan	102	59	20	63	208.30	17	0.5319693095	48
Martinique	4	158	3	151	0.00	156	0.4463519313	140
Ghana	29	89	4	136	13.35	48	0.4601769912	119
Haiti	14	113	2	165	0.00	156	0.4521739130	137
Faroe Islands	28	92	7	107	0.05	116	0.4118811881	170
Botswana	10	132	6	111	0.00	140	0.4803695150	88
Chad	4	158	4	136	0.00	156	0.4244897959	162
Iran	146	46	23	49	32.20	34	0.5488126649	32
The Gambia	6	143	3	151	0.00	149	0.4591611479	124
Ecuador	36	85	14	81	0.08	112	0.4803695150	88
Uruguay	45	78	10	90	0.01	131	0.4738041002	96
Estonia	345	32	25	1	3.54	66	0.5319693095	48
Vietnam	55	75	15	78	37.98	31	0.4988009592	74
Puerto Rico	14	113	6	111	0.03	120	0.4632516704	111
Trinidad and Tobago	13	119	3	151	0.70	85	0.4453961456	141
Sierra Leone	10	132	2	165	0.00	156	0.4551422319	133
Afghanistan	12	123	8	98	0.10	109	0.4695259594	103
Somalia	1	191	1	185	0.00	156	0.3931947070	189
Dominican Republic	36	85	8	98	0.11	108	0.4591611479	124
Guam	4	158	4	136	0.01	136	0.4000000000	183
Greenland	20	102	7	107	0.46	89	0.4193548387	167
Malaysia	72	67	17	75	1.79	77	0.5123152709	65
Hong Kong	2	180	2	165	0.00	156	0.3630017452	208
Togo	6	143	5	124	0.00	154	0.4727272727	98
Uzbekistan	25	95	15	78	0.25	95	0.4964200477	77
Saudi Arabia	45	78	20	63	2.24	75	0.5123152709	65
The Bahamas	10	132	1	185	0.00	156	0.4406779661	144
St Barthélemy	3	173	2	165	0.00	139	0.3795620438	203
North Korea	16	107	8	98	0.45	90	0.4315352697	159
Nepal	11	128	6	111	0.16	103	0.4591611479	124
Bangladesh	15	109	8	98	0.57	88	0.4663677130	109
Marshall Islands	4	158	2	165	0.00	156	0.3802559415	202
Palestine	30	88	12	86	0.03	121	0.4871194379	85
Turkmenistan	8	138	4	136	0.00	156	0.4521739130	137
Jamaica	18	105	5	124	0.00	156	0.4684684685	105
Democratic Republic of the Congo	9	135	6	111	0.30	94	0.4342379958	157
Kenya	15	109	6	111	0.00	156	0.4781609195	92
Zambia	24	97	11	87	5.94	59	0.4905660377	83
Suriname	9	135	4	136	6.09	57	0.4236252546	163
Bhutan	7	140	2	165	0.00	156	0.4062500000	177
Kosovo	14	113	8	98	0.10	110	0.4727272727	98
Bolivia	44	80	15	78	0.15	104	0.4976076555	76
Kuwait	18	105	11	87	4.29	64	0.4928909953	82
Honduras	22	100	9	93	0.04	117	0.4792626728	91
Papua New Guinea	9	135	4	136	0.00	140	0.4227642276	164
Djibouti	2	180	2	165	0.00	156	0.4110671937	171
Angola	15	109	5	124	4.81	62	0.4611973392	115
Macau	14	113	5	124	0.33	92	0.4110671937	171
Equatorial Guinea	3	173	2	165	0.00	156	0.3895131086	197
Palau	2	180	2	165	0.00	156	0.4531590414	135
Panama	12	123	6	111	0.00	151	0.4571428571	128
Qatar	5	154	5	124	0.01	133	0.4324324324	158
Lesotho	2	180	1	185	0.00	156	0.4406779661	144
Aruba	1	191	1	185	0.00	156	0.3707664884	204
American Samoa	4	158	4	136	0.00	156	0.4482758621	139
Swaziland	4	158	3	151	0.00	150	0.4591611479	124
Cayman Islands	1	191	1	185	0.00	156	0.4406779661	144
Guadeloupe	4	158	3	151	0.01	132	0.4531590414	135
Oman	6	143	5	124	0.23	97	0.4007707129	182
Guyana	6	143	2	165	0.00	156	0.4416135881	143
Liberia	6	143	2	165	0.00	156	0.4453961456	141
Madagascar	6	143	5	124	0.00	143	0.4684684685	105
Gabon	2	180	1	185	0.00	156	0.3977055449	186
New Caledonia	6	143	3	151	0.00	148	0.4070450098	175
Niger	4	158	3	151	0.05	115	0.3917137476	195
Cambodia	25	95	5	124	2.92	71	0.4601769912	119
Burma	5	154	3	151	0.02	122	0.4143426295	169
Cape Verde	12	123	3	151	0.02	123	0.4038834951	178
São Tomé and Príncipe	5	154	2	165	0.01	127	0.3851851852	200
Benin	6	143	5	124	0.00	155	0.4653243848	110
Mauritius	4	158	4	136	0.00	146	0.4193548387	167
San Marino	2	180	2	165	0.00	156	0.3661971831	207
Andorra	3	173	3	151	0.00	156	0.4110671937	171
Yemen	6	143	6	111	0.08	113	0.4360587002	155
Sri Lanka	3	173	2	165	0.00	156	0.4210526316	165
Vanuatu	1	191	1	185	0.00	156	0.3984674330	184
St Kitts and Nevis	1	191	1	185	0.00	156	0.3902439024	196
Singapore	4	158	4	136	0.00	145	0.3887850467	198
Fiji	1	191	1	185	0.00	156	0.3984674330	184
Namibia	12	123	8	98	0.02	125	0.4705882353	102
St Martin	1	191	1	185	0.00	156	0.4406779661	144
Maldives	1	191	1	185	0.00	156	0.3707664884	204
Libya	11	128	8	98	0.02	124	0.4351464435	156
Tonga	2	180	1	185	0.00	156	0.3931947070	189
Falkland Islands	2	180	1	185	0.00	156	0.3931947070	189
Curaçao	3	173	2	165	0.00	156	0.3674911661	206
Abu Dis	1	191	1	185	0.00	156	0.3931947070	189
Monaco	3	173	3	151	0.00	156	0.4038834951	178
Sahara	1	191	1	185	0.00	156	0.4406779661	144
Bahrain	4	158	4	136	0.01	126	0.4031007752	180
Mauritania	3	173	3	151	0.00	156	0.4202020202	166
Jersey	2	180	2	165	0.00	156	0.4102564103	174
Gibraltar	1	191	1	185	0.00	156	0.3931947070	189
Laos	6	143	5	124	0.19	100	0.4571428571	128
Guernsey	1	191	1	185	0.00	156	0.3873370577	199
South Sudan	1	191	1	185	0.00	156	0.4406779661	144
Bura	1	191	1	185	0.00	156	0.4406779661	144
Guinea	1	191	1	185	0.00	156	0.4406779661	144
Reunion	2	180	2	165	0.00	156	0.4015444015	181
Solomon Islands	1	191	1	185	0.00	156	0.3567753002	209
Antigua and Barbuda	2	180	2	165	0.00	138	0.3954372624	187
Grenada	1	191	1	185	0.00	156	0.3931947070	189
Turks and Caicos Islands	1	191	1	185	0.00	156	0.4406779661	144
Micronesia	1	191	1	185	0.00	156	0.4406779661	144
