user	indegree	indegree_ranking	outdegree	outdegree_ranking	kin	kin_ranking	kout	kout_ranking	betweeness	betweeness_ranking	pagerank	pagerank_ranking	
Thomas_Jefferson	47	(615)	41	(337)	5	(2155)	6	(2547)	3053385.08	(126)	0.00052	(83)
Timothy_Pickering	9	(4549)	9	(5379)	3	(4980)	4	(6525)	29021.44	(11199)	0.00011	(1564)
William_Wirt	5	(7353)	2	(18360)	2	(7740)	2	(14112)	2372.32	(16780)	0.00004	(6677)
Aaron_Carter	1	(18479)	1	(24095)	0	(24714)	1	(21126)	21774.00	(12462)	0.00001	(19882)
Backstreet_Boys	24	(1641)	7	(7076)	5	(2155)	5	(4325)	254738.11	(2601)	0.00007	(3282)
Aaron_Cicourel	0	(27130)	4	(11725)	0	(24714)	2	(14112)	0.00	(20860)	0.00000	(34765)
Harold_Garfinkel	1	(18479)	0	(32083)	0	(24714)	0	(30966)	0.00	(20860)	0.00001	(25427)
Ludwig_Wittgenstein	37	(917)	20	(1696)	5	(2155)	5	(4325)	612216.87	(1070)	0.00017	(799)
Max_Weber	26	(1476)	6	(8236)	5	(2155)	4	(6525)	238697.79	(2761)	0.00013	(1329)
Noam_Chomsky	24	(1641)	1	(24095)	4	(3262)	0	(30966)	29452.00	(10935)	0.00010	(1794)
Aaron_Ciechanover	3	(10529)	2	(18360)	2	(7740)	2	(14112)	58898.00	(7804)	0.00005	(4503)
Avram_Hershko	2	(13478)	2	(18360)	2	(7740)	2	(14112)	0.00	(20860)	0.00005	(4783)
Irwin_Rose	2	(13478)	2	(18360)	2	(7740)	2	(14112)	0.00	(20860)	0.00005	(4783)
Aaron_Copland	18	(2299)	4	(11725)	4	(3262)	4	(6525)	217279.05	(2997)	0.00005	(4433)
Billy_the_Kid	10	(4152)	23	(1315)	4	(3262)	7	(1307)	271706.31	(2458)	0.00008	(2684)
Keith_Emerson	11	(3792)	24	(1211)	4	(3262)	6	(2547)	349149.33	(1939)	0.00004	(5489)
Leonard_Bernstein	49	(572)	21	(1568)	7	(309)	6	(2547)	949333.15	(644)	0.00013	(1337)
Nadia_Boulanger	24	(1641)	21	(1568)	5	(2155)	6	(2547)	712655.42	(899)	0.00008	(2575)
Aaron_Eckhart	12	(3487)	16	(2499)	5	(2155)	7	(1307)	113905.51	(5010)	0.00004	(6950)
Alan_Ball	8	(4999)	4	(11725)	2	(7740)	3	(9579)	14589.48	(13612)	0.00002	(12087)
Catherine_Zeta-Jones	23	(1712)	34	(552)	7	(309)	8	(229)	1142757.69	(518)	0.00008	(2739)
Gwyneth_Paltrow	56	(466)	37	(430)	7	(309)	7	(1307)	1462460.37	(380)	0.00021	(563)
Jack_Nicholson	104	(122)	58	(105)	7	(309)	8	(229)	4035467.14	(78)	0.00044	(131)
Jason_Reitman	19	(2170)	1	(24095)	5	(2155)	1	(21126)	21682.35	(12745)	0.00008	(2767)
John_Cameron_Mitchell	8	(4999)	2	(18360)	4	(3262)	2	(14112)	72613.50	(6770)	0.00002	(9948)
John_Woo	55	(482)	9	(5379)	7	(309)	6	(2547)	476262.12	(1423)	0.00019	(705)
Jon_Amiel	15	(2798)	1	(24095)	4	(3262)	1	(21126)	81269.85	(6336)	0.00003	(8820)
Jonathan_Liebesman	13	(3223)	3	(14489)	2	(7740)	3	(9579)	62195.04	(7464)	0.00002	(10718)
Julia_Roberts	65	(341)	34	(552)	7	(309)	8	(229)	754815.36	(843)	0.00017	(840)
Neil_LaBute	35	(987)	5	(9690)	6	(1251)	5	(4325)	133807.76	(4449)	0.00007	(3382)
Oliver_Stone	159	(42)	1	(24095)	7	(309)	1	(21126)	483109.83	(1401)	0.00051	(88)
Renée_Zellweger	25	(1565)	10	(4715)	7	(309)	8	(229)	235748.56	(2797)	0.00008	(2724)
Ron_Howard	113	(104)	31	(701)	7	(309)	7	(1307)	2268205.01	(201)	0.00039	(164)
Scott_Hicks	19	(2170)	1	(24095)	5	(2155)	1	(21126)	8943.70	(14619)	0.00003	(7824)
Sean_Penn	94	(156)	47	(221)	7	(309)	8	(229)	2382738.76	(191)	0.00039	(168)
Aaron_Jeffery	0	(27130)	1	(24095)	0	(24714)	1	(21126)	0.00	(20860)	0.00000	(27335)
Gavin_Hood	16	(2628)	7	(7076)	5	(2155)	5	(4325)	102698.28	(5385)	0.00004	(6593)
Aaron_John_Buckley	0	(27130)	1	(24095)	0	(24714)	1	(21126)	0.00	(20860)	0.00000	(27335)
Katie_Holmes	15	(2798)	26	(1038)	4	(3262)	6	(2547)	448980.47	(1510)	0.00005	(5079)
Aaron_Johnson_(attore)	0	(27130)	6	(8236)	0	(24714)	4	(6525)	0.00	(20860)	0.00000	(27335)
Edward_Norton	34	(1017)	29	(829)	6	(1251)	8	(229)	688983.47	(934)	0.00008	(2758)
Hideo_Nakata	12	(3487)	0	(32083)	1	(13590)	0	(30966)	0.00	(20860)	0.00003	(8441)
John_Lennon	110	(107)	36	(471)	7	(309)	8	(229)	3666200.06	(99)	0.00048	(100)
Mark_Millar	14	(2997)	7	(7076)	4	(3262)	4	(6525)	134457.67	(4434)	0.00007	(2911)
Nicolas_Cage	70	(297)	40	(363)	7	(309)	8	(229)	1382661.34	(404)	0.00039	(166)
Rodrigo_García	27	(1397)	2	(18360)	4	(3262)	1	(21126)	28940.75	(11208)	0.00004	(5864)
Aaron_Klug	0	(27130)	1	(24095)	0	(24714)	1	(21126)	0.00	(20860)	0.00000	(27335)
Rosalind_Franklin	2	(13478)	10	(4715)	1	(13590)	3	(9579)	85744.25	(6163)	0.00001	(18058)
Aaron_Lennon	2	(13478)	2	(18360)	2	(7740)	0	(30966)	58898.00	(7804)	0.00001	(18078)
John_Oster	1	(18479)	0	(32083)	1	(13590)	0	(30966)	0.00	(20860)	0.00001	(19320)
Matthew_Briggs	1	(18479)	0	(32083)	1	(13590)	0	(30966)	0.00	(20860)	0.00001	(19320)
Aaron_Neville	8	(4999)	1	(24095)	4	(3262)	1	(21126)	308.10	(18954)	0.00004	(7157)
Linda_Ronstadt	19	(2170)	4	(11725)	5	(2155)	3	(9579)	37082.25	(9751)	0.00010	(1961)
Aaron_Nimzowitsch	9	(4549)	1	(24095)	3	(4980)	1	(21126)	884.38	(18001)	0.00007	(3291)
Giorgio_Porreca	27	(1397)	2	(18360)	4	(3262)	1	(21126)	341544.01	(1975)	0.00033	(225)
Aaron_Norris	3	(10529)	1	(24095)	2	(7740)	1	(21126)	820.50	(18083)	0.00001	(17367)
Chuck_Norris	15	(2798)	15	(2729)	4	(3262)	6	(2547)	396405.32	(1710)	0.00006	(3631)
Aaron_North	0	(27130)	1	(24095)	0	(24714)	1	(21126)	0.00	(20860)	0.00000	(27335)
Stevie_Ray_Vaughan	23	(1712)	25	(1114)	5	(2155)	7	(1307)	342856.83	(1973)	0.00008	(2689)
Aaron_Paul	2	(13478)	4	(11725)	1	(13590)	3	(9579)	89487.10	(5934)	0.00001	(22473)
Bryan_Cranston	2	(13478)	8	(6126)	1	(13590)	4	(6525)	32158.82	(10318)	0.00001	(18252)
J._J._Abrams	44	(677)	9	(5379)	5	(2155)	6	(2547)	293372.00	(2295)	0.00014	(1076)
Sara_Gilbert	2	(13478)	4	(11725)	1	(13590)	3	(9579)	30963.10	(10506)	0.00001	(22221)
Walt_Becker	11	(3792)	0	(32083)	4	(3262)	0	(30966)	0.00	(20860)	0.00003	(8057)
Aaron_Ramsey	0	(27130)	3	(14489)	0	(24714)	2	(14112)	0.00	(20860)	0.00000	(27335)
Alex_Ferguson	30	(1205)	2	(18360)	4	(3262)	2	(14112)	437786.75	(1555)	0.00017	(862)
Arsène_Wenger	26	(1476)	16	(2499)	4	(3262)	4	(6525)	1115171.40	(537)	0.00018	(777)
Stephen_McPhail	1	(18479)	0	(32083)	0	(24714)	0	(30966)	0.00	(20860)	0.00001	(24653)
Aaron_Slight	1	(18479)	1	(24095)	1	(13590)	1	(21126)	0.00	(20860)	0.00004	(6154)
Scott_Russell	1	(18479)	1	(24095)	1	(13590)	1	(21126)	0.00	(20860)	0.00004	(6154)
Aaron_Sorkin	12	(3487)	10	(4715)	2	(7740)	7	(1307)	47985.66	(8691)	0.00002	(10142)
Ben_Mezrich	3	(10529)	2	(18360)	2	(7740)	2	(14112)	25992.00	(11485)	0.00001	(15017)
Demi_Moore	32	(1101)	27	(964)	6	(1251)	7	(1307)	509735.71	(1326)	0.00012	(1384)
Michael_Bay	74	(266)	11	(4181)	7	(309)	7	(1307)	701178.57	(917)	0.00021	(577)
Rob_Reiner	64	(350)	12	(3738)	7	(309)	7	(1307)	298361.05	(2257)	0.00021	(600)
Steven_Spielberg	314	(3)	91	(19)	7	(309)	8	(229)	14348524.45	(11)	0.00111	(9)
Tom_Cruise	97	(144)	46	(236)	7	(309)	8	(229)	3335904.70	(114)	0.00041	(144)
Tom_Hanks	80	(232)	25	(1114)	7	(309)	7	(1307)	1744195.12	(295)	0.00040	(160)
Warren_Beatty	68	(314)	17	(2258)	7	(309)	8	(229)	405381.34	(1671)	0.00021	(592)
Aaron_Spelling	24	(1641)	13	(3359)	4	(3262)	6	(2547)	487167.13	(1391)	0.00008	(2779)
Carolyn_Jones	4	(8662)	3	(14489)	2	(7740)	3	(9579)	29492.34	(10888)	0.00001	(14118)
Dan_Castellaneta	4	(8662)	3	(14489)	2	(7740)	3	(9579)	174617.17	(3618)	0.00002	(11425)
Darren_Star	5	(7353)	1	(24095)	2	(7740)	1	(21126)	1778.43	(17190)	0.00002	(10754)
