node	degree	degree_ranking	k	k_ranking	betweeness	betweeness_ranking	closeness	closeness_ranking	
St_Kitts_and_Nevis	1	171	1	171	0.00	141	0.3953974895	180
Swaziland	2	156	2	155	0.00	141	0.4587378641	130
Syria	14	82	14	78	2.47	98	0.4846153846	87
Tajikistan	10	89	9	90	2.14	102	0.4725000000	108
The_Bahamas	1	171	1	171	0.00	141	0.4468085106	139
The_Gambia	2	156	2	155	0.00	141	0.4587378641	130
Togo	4	130	4	129	0.00	141	0.4748743719	100
Tonga	1	171	1	171	0.00	141	0.3970588235	177
Turkmenistan	4	130	4	129	0.00	141	0.4598540146	128
Turks_and_Caicos_Islands	1	171	1	171	0.00	141	0.4468085106	139
Vanuatu	1	171	1	171	0.00	141	0.4064516129	170
Yemen	6	112	6	108	2.61	97	0.4468085106	139
